ngcid,yearOfDiscovery,firstname,middlenames,lastname,yearOfBirth,yearOfDeath,telType,telInch
0001,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0002,1873,Lawrence,,Parsons,1840,1908,Reflector,72
0003,1864,Albert,,Marth,1828,1897,Reflector,48
0004,1864,Albert,,Marth,1828,1897,Reflector,48
0005,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0006,1885,Lewis,,Swift,1820,1913,Refractor,16
0007,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0008,1865,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
0009,1865,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
0010,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0011,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0012,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0013,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0014,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0015,1864,Albert,,Marth,1828,1897,Reflector,48
0016,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0017,1886,Frank,,Muller,1862,1917,Refractor,26
0018,1866,Per,Magnus Herman,Schultz,1823,1890,Refractor,9.6
0019,1885,Lewis,,Swift,1820,1913,Refractor,16
0020,1857,William,,Parsons,1800,1867,Reflector,72
0021,1885,Lewis,,Swift,1820,1913,Refractor,16
0022,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0023,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0024,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0025,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0026,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0027,1884,Lewis,,Swift,1820,1913,Refractor,16
0028,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0029,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0030,1864,Albert,,Marth,1828,1897,Reflector,48
0031,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0032,1861,Johann,Friedrich Julius,Schmidt,1825,1884,Refractor,6.2
0033,1864,Albert,,Marth,1828,1897,Reflector,48
0034,1886,Lewis,,Swift,1820,1913,Refractor,16
0035,1886,Lewis,,Swift,1820,1913,Refractor,16
0036,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0037,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0038,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0039,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0040,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0041,1864,Albert,,Marth,1828,1897,Reflector,48
0042,1864,Albert,,Marth,1828,1897,Reflector,48
0043,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0044,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0045,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0046,1852,Edward,Joshua,Cooper,1798,1863,Refractor,13.5
0047,1886,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0048,1885,Lewis,,Swift,1820,1913,Refractor,16
0049,1885,Lewis,,Swift,1820,1913,Refractor,16
0050,1865,Gaspare,Stanislao,Ferrari,1834,1903,Refractor,9.5
0051,1885,Lewis,,Swift,1820,1913,Refractor,16
0052,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0053,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0054,1886,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0055,1826,James,,Dunlop,1793,1848,Reflector,9
0056,1825,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0057,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0058,1886,Lewis,,Swift,1820,1913,Refractor,16
0059,1885,Ormond,,Stone,1847,1933,Refractor,26
0060,1882,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0061,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0062,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0063,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0064,1886,Lewis,,Swift,1820,1913,Refractor,16
0065,1886,Frank,,Muller,1862,1917,Refractor,26
0066,1886,Frank,,Muller,1862,1917,Refractor,26
0067,1855,William,,Parsons,1800,1867,Reflector,72
0068,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0069,1855,William,,Parsons,1800,1867,Reflector,72
0070,1855,William,,Parsons,1800,1867,Reflector,72
0071,1855,William,,Parsons,1800,1867,Reflector,72
0072,1855,William,,Parsons,1800,1867,Reflector,72
0073,1886,Lewis,,Swift,1820,1913,Refractor,16
0074,1855,William,,Parsons,1800,1867,Reflector,72
0075,1886,Lewis,,Swift,1820,1913,Refractor,16
0076,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0077,1886,Frank,,Muller,1862,1917,Refractor,26
0078,1879,Carl,Frederick,Pechüle,1843,1914,Refractor,11
0079,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0080,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0081,1873,Ralph,,Copeland,1837,1905,Reflector,72
0082,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0083,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0084,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0085,1873,Ralph,,Copeland,1837,1905,Reflector,72
0086,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0087,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0088,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0089,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0090,1854,William,,Parsons,1800,1867,Reflector,72
0091,1854,William,,Parsons,1800,1867,Reflector,72
0092,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0093,1854,William,,Parsons,1800,1867,Reflector,72
0094,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0095,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0096,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0097,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0098,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0099,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0100,1885,Lewis,,Swift,1820,1913,Refractor,16
0101,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0102,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0103,1829,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0104,1751,Nicolas-Louis,,de Lacaille,1713,1762,Refractor,0.5
0105,1884,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0106,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0107,1866,Otto,Wilhelm,von Struve,1819,1905,Refractor,15
0108,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0109,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0110,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0111,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0112,1885,Lewis,,Swift,1820,1913,Refractor,16
0113,1876,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0114,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0115,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0116,1865,Gaspare,Stanislao,Ferrari,1834,1903,Refractor,9.5
0117,1863,Albert,,Marth,1828,1897,Reflector,48
0118,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0119,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0120,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0121,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0122,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0123,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0124,1880,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0125,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0126,1850,William,,Parsons,1800,1867,Reflector,72
0127,1850,William,,Parsons,1800,1867,Reflector,72
0128,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0129,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0130,1850,William,,Parsons,1800,1867,Reflector,72
0131,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0132,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0133,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0134,1826,James,,Dunlop,1793,1848,Reflector,9
0135,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0136,1788,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0137,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0138,1864,Albert,,Marth,1828,1897,Reflector,48
0139,1864,Albert,,Marth,1828,1897,Reflector,48
0140,1882,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0141,1864,Albert,,Marth,1828,1897,Reflector,48
0142,1886,Frank,,Muller,1862,1917,Refractor,26
0143,1886,Frank,,Muller,1862,1917,Refractor,26
0144,1886,Frank,,Muller,1862,1917,Refractor,26
0145,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0146,1829,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0147,1829,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0148,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0149,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0150,1886,Lewis,,Swift,1820,1913,Refractor,16
0151,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0152,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0153,1886,Lewis,,Swift,1820,1913,Refractor,16
0154,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0155,1886,Lewis,,Swift,1820,1913,Refractor,16
0156,1882,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0157,1783,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0158,1882,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0159,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0160,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0161,1886,Lewis,,Swift,1820,1913,Refractor,16
0162,1867,Per,Magnus Herman,Schultz,1823,1890,Refractor,9.6
0163,1798,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0164,1864,Albert,,Marth,1828,1897,Reflector,48
0165,1882,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0166,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0167,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0168,1886,Frank,,Muller,1862,1917,Refractor,26
0169,1857,William,,Parsons,1800,1867,Reflector,72
0170,1863,Albert,,Marth,1828,1897,Reflector,48
0171,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0172,1886,Frank,,Muller,1862,1917,Refractor,26
0173,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0174,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0175,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0176,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0177,1886,Frank,,Muller,1862,1917,Refractor,26
0178,1885,Ormond,,Stone,1847,1933,Refractor,26
0179,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0180,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0181,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0182,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0183,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0184,1883,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0185,1787,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0186,1862,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0187,1885,Ormond,,Stone,1847,1933,Refractor,26
0188,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0189,1829,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0190,1886,Lewis,,Swift,1820,1913,Refractor,16
0191,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0192,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0193,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0194,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0195,1877,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0196,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0197,1863,Albert,,Marth,1828,1897,Reflector,48
0198,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0199,1862,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0200,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0201,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0202,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0203,1873,Ralph,,Copeland,1837,1905,Reflector,72
0204,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0205,1773,Charles,,Messier,1730,1817,Refractor,3.3
0206,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0207,1857,William,,Parsons,1800,1867,Reflector,72
0208,1863,Albert,,Marth,1828,1897,Reflector,48
0209,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0210,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0211,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0212,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0213,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0214,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0215,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0216,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0217,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0218,1876,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0219,1863,George,Phillips,Bond,1825,1865,Refractor,15
0220,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0221,1749,Guillaume,Hyazinthe,Legentil,1725,1792,Refractor,
0222,1826,James,,Dunlop,1793,1848,Reflector,9
0223,1853,George,Phillips,Bond,1825,1865,Refractor,15
0224,964,Abd-al-Rahman,,Al Sufi,903,986,Naked Eye,0.27
0225,1784,Karoline,Lucretia,Herschel,1750,1848,Reflector,4.2
0226,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0227,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0228,1879,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0229,1879,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0230,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0231,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0232,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0233,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0234,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0235,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0236,1864,Albert,,Marth,1828,1897,Reflector,48
0237,1886,Lewis,,Swift,1820,1913,Refractor,16
0238,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0239,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0240,1886,Lewis,,Swift,1820,1913,Refractor,16
0241,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0242,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0243,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0244,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0245,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0246,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0247,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0248,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0249,1826,James,,Dunlop,1793,1848,Reflector,9
0250,1885,Lewis,,Swift,1820,1913,Refractor,16
0251,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0252,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0253,1783,Karoline,Lucretia,Herschel,1750,1848,Reflector,4.2
0254,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0255,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0256,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0257,1790,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0258,1848,William,,Parsons,1800,1867,Reflector,72
0259,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0260,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0261,1826,James,,Dunlop,1793,1848,Reflector,9
0262,1885,Lewis,,Swift,1820,1913,Refractor,16
0263,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0264,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0265,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0266,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0267,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0268,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0269,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0270,1798,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0271,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0272,1864,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0273,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0274,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0275,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0276,1886,Frank,,Muller,1862,1917,Refractor,26
0277,1864,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0278,1786,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0279,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0280,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0281,1881,Edward,Emerson,Barnard,1857,1923,Refractor,6
0282,1879,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0283,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0284,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0285,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0286,1886,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0287,1827,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0288,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0289,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0290,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0291,1864,Albert,,Marth,1828,1897,Reflector,48
0292,1501,Amerigo,,Vespucci,1451,1512,Naked Eye,0.27
0293,1864,Albert,,Marth,1828,1897,Reflector,48
0294,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0295,1872,Ralph,,Copeland,1837,1905,Reflector,72
0296,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0297,1864,Albert,,Marth,1828,1897,Reflector,48
0298,1864,Albert,,Marth,1828,1897,Reflector,48
0299,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0300,1826,James,,Dunlop,1793,1848,Reflector,9
0301,1886,Frank,,Muller,1862,1917,Refractor,26
0302,1886,Frank,,Muller,1862,1917,Refractor,26
0303,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0304,1878,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0305,1825,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0306,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0307,1831,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0308,1866,Robert,Stawell,Ball,1840,1913,Reflector,72
0309,1877,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0310,1866,Robert,Stawell,Ball,1840,1913,Reflector,72
0311,1828,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0312,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0313,1850,William,,Parsons,1800,1867,Reflector,72
0314,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0315,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0316,1850,William,,Parsons,1800,1867,Reflector,72
0317,1885,Lewis,,Swift,1820,1913,Refractor,16
0318,1850,William,,Parsons,1800,1867,Reflector,72
0319,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0320,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0321,1864,Albert,,Marth,1828,1897,Reflector,48
0322,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0323,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0324,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0325,1864,Albert,,Marth,1828,1897,Reflector,48
0326,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0327,1864,Albert,,Marth,1828,1897,Reflector,48
0328,1836,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0329,1864,Albert,,Marth,1828,1897,Reflector,48
0330,1826,James,,Dunlop,1793,1848,Reflector,9
0331,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0332,1886,Lewis,,Swift,1820,1913,Refractor,16
0333,1877,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0334,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0335,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0336,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0337,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0338,1877,Ernst,Wilhelm Leberecht,Tempel,1821,1889,Refractor,11
0339,1835,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0340,1864,Albert,,Marth,1828,1897,Reflector,48
0341,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0342,1864,Albert,,Marth,1828,1897,Reflector,48
0343,1886,Frank,,Muller,1862,1917,Refractor,26
0344,1886,Frank,,Muller,1862,1917,Refractor,26
0345,1864,Albert,,Marth,1828,1897,Reflector,48
0346,1826,James,,Dunlop,1793,1848,Reflector,9
0347,1864,Albert,,Marth,1828,1897,Reflector,48
0348,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0349,1864,Albert,,Marth,1828,1897,Reflector,48
0350,1864,Albert,,Marth,1828,1897,Reflector,48
0351,1885,Lewis,,Swift,1820,1913,Refractor,16
0352,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0353,1885,Lewis,,Swift,1820,1913,Refractor,16
0354,1881,Jean,Marie Edouard,Stephan,1837,1923,Reflector,31.5
0355,1864,Albert,,Marth,1828,1897,Reflector,48
0356,1864,Albert,,Marth,1828,1897,Reflector,48
0357,1785,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0358,1865,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0359,1864,Albert,,Marth,1828,1897,Reflector,48
0360,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0361,1826,James,,Dunlop,1793,1848,Reflector,9
0362,1826,James,,Dunlop,1793,1848,Reflector,9
0363,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0364,1864,Albert,,Marth,1828,1897,Reflector,48
0365,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0366,1829,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0367,1886,Frank,,Muller,1862,1917,Refractor,26
0368,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0369,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0370,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0371,1826,James,,Dunlop,1793,1848,Reflector,9
0372,1876,Johann,Louis Emil,Dreyer,1852,1926,Reflector,72
0373,1876,Johann,Louis Emil,Dreyer,1852,1926,Reflector,72
0374,1861,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0375,1874,Lawrence,,Parsons,1840,1908,Reflector,72
0376,1826,James,,Dunlop,1793,1848,Reflector,9
0377,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
0378,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0379,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0380,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0381,1783,Karoline,Lucretia,Herschel,1750,1848,Reflector,4.2
0382,1850,William,,Parsons,1800,1867,Reflector,72
0383,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0384,1850,William,,Parsons,1800,1867,Reflector,72
0385,1850,William,,Parsons,1800,1867,Reflector,72
0386,1850,William,,Parsons,1800,1867,Reflector,72
0387,1873,Lawrence,,Parsons,1840,1908,Reflector,72
0388,1850,William,,Parsons,1800,1867,Reflector,72
0389,1885,Lewis,,Swift,1820,1913,Refractor,16
0390,1884,Guillaume,,Bigourdan,1851,1932,Refractor,12
0391,1853,George,Phillips,Bond,1825,1865,Refractor,15
0392,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0393,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0394,1854,William,,Parsons,1800,1867,Reflector,72
0395,1826,James,,Dunlop,1793,1848,Reflector,9
0396,1864,Albert,,Marth,1828,1897,Reflector,48
0397,1866,Robert,Stawell,Ball,1840,1913,Reflector,72
0398,1886,Guillaume,,Bigourdan,1851,1932,Refractor,12
0399,1874,Lawrence,,Parsons,1840,1908,Reflector,72
0400,1866,Robert,Stawell,Ball,1840,1913,Reflector,72
0401,1866,Robert,Stawell,Ball,1840,1913,Reflector,72
0402,1874,Lawrence,,Parsons,1840,1908,Reflector,72
0403,1862,Heinrich,Louis,d'Arrest,1822,1875,Refractor,11
0404,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0405,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0406,1834,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0407,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0408,1867,Per,Magnus Herman,Schultz,1823,1890,Refractor,9.6
0409,1837,John,Frederick William,Herschel,1792,1871,Reflector,18.7
0410,1784,Friedrich,Wilhelm,Herschel,1738,1822,Reflector,18.7
0411,1826,James,,Dunlop,1793,1848,Reflector,9
0412,1885,Francis,Preserved,Leavenworth,1858,1928,Refractor,26
